enzyme	guide	target_edit	gfp	mei	n_sig_edits	ave_sig_edits	ave_nontarget_edits	phred	p_value	target_MEI_ratio	target_nontarget_ratio	norm_target_MEI_ratio
CAGX	- gRNA	0.01	0	0.0151	0	0	0	0.0001	0.0001	0.6622516556	0	1
CAGX + 4λN	- gRNA	0.08	0.025	0.0317	5	0.1715	0.1555	0.001	0.0001	2.523659306	0.5144694534	3.810725552
CAGX + 4λN-NLS	- gRNA	0.04	0.024	0.0179	3	0.0775	0.06416667	0.0001	0.0001	2.234636872	0.623376591	3.374301676
CAGX	+ gRNA	0.03	0	0.0309	0	0	0	0.0001	0.0001	0.9708737864	0	1.466019417
CAGX + 4λN	+ gRNA	0.58	0.603	0.0484	8	0.2569	0.17404286	0.003	0.0001	11.98347107	3.332512463	18.09504132
CAGX + 4λN-NLS	+ gRNA	0.47	0.529	0.026	4	0.1994	0.0819	0.003	0.0001	18.07692308	5.738705739	27.29615385
